0020;033068;00;St.Peterburg Vitebsk
0020;056705;00;Dno
0020;066605;00;Novosokolniky
0020;100800;00;Èernjachovsk
0020;101006;00;eleznodoronyj
0020;170100;00;Smolensk Centr.
0020;171348;00;Krasnoje
0020;174300;00;Vjazma
0020;188284;00;Kaluga
0020;198234;00;Moskva Bìloruské n.
0020;200006;00;Briansk Lgovskij
0020;200105;00;Briansk-Orlovskij
0020;208207;00;Kursk
0020;210302;00;Tula Vjazemskaja
0020;216002;00;Orel
0020;510206;00;Rostov n.D.Glovnyj
0020;524405;00;Krasnodar 1
0020;532804;00;Adler
0020;596528;00;Voronì
0020;620005;00;Saratov Passairskij
0021;130005;00;Brest Centralnyj
0021;130039;00;Park Bug
0021;135202;00;Grodno
0021;138503;00;Baranovièi-Centr.
0021;140202;00;Minsk Passairskij
0021;150003;00;Gomel
0021;166405;00;Orša Centralnaja
0022;320309;00;Kiev Pass.
0022;330001;00;merinka Pass.
0022;330704;00;Chmelnickij
0022;335802;00;Vinnica
0022;342600;00;Kozatin
0022;351304;00;Jagodin
0022;360008;00;Ternopol Pass.
0022;361303;00;Podvoloèisk
0022;370007;00;Lvov
0022;376715;00;Slavsko
0022;377408;00;Stryj
0022;380006;00;Mukaèevo
0022;380105;00;Èop
0022;380105;02;Beskyd
0022;382507;00;Batevo
0022;383604;00;Svaljava
0022;383703;00;Volovec
0022;383729;00;Skotarsko
0022;383802;00;Lavoène
0022;384701;00;Korolevo
0022;384818;00;Diakovo
0022;385609;00;Teresva
0022;400218;00;Odìssa-Glavnaja
0022;406801;00;Kotovsk
0022;408500;00;Vapniarka
0022;440057;00;Charkov Pass.
0022;448506;00;Poltava Kievskaja
0022;451104;00;Dnìpropetrovsk
0022;480004;00;Jasinovataja
0022;480400;00;Donìck
0022;482802;00;Avdìjevka
0024;120006;00;Vilnius
0024;123109;00;Kaunas
0024;123307;00;Mockava (LT)
0024;123802;00;Šeštokai
0025;095018;00;Riga Passairskaja
0044;441014;00;Dobrljin
0044;441055;00;Bosanski Novi Grad
0044;441246;00;Omarska
0044;441402;00;Banja Luka
0044;443010;00;Bosanski Šamac
0044;443259;00;Doboj
0050;510321;00;Mostar
0050;510479;00;Èapljina
0050;510610;00;Sarajevo
0050;520627;00;Zenica
0050;520932;00;Semizovac
0050;526137;00;Lukavac
0050;534081;00;Bihaè
0050;534172;00;Kulen Vakuf
0050;534180;00;Martin Brod
0051;000109;00;Szczecin Port Centr.
0051;000273;00;Szczecin G³.
0051;000703;00;Police
0051;000745;00;Police Chemia
0051;001008;00;Œwinoujœcie
0051;001107;00;Szczecin D¹bie
0051;002204;00;Stargard Szczeciñski
0051;003905;00;Bialogard
0051;005900;00;Gdynia G³.
0051;005942;00;Sopot
0051;006106;00;Reda
0051;006742;00;W³adys³awowo
0051;006791;00;Hel
0051;007112;00;Tczew
0051;007302;00;Pruszcz Gdañski
0051;007500;00;Gdañsk G³.
0051;007534;00;Gdañsk Wrzeszcz
0051;007583;00;Gdañsk Oliwa
0051;007625;00;Gdañsk Po³udniowy
0051;007641;00;Mot³awa Most
0051;007708;00;Gdañsk Nowy Port
0051;007831;00;Gdañsk Olszynka
0051;007872;00;Malbork
0051;009209;00;Olsztyn G³.
0051;010009;00;Korsze
0051;010066;00;Skandawa
0051;011809;00;E³k
0051;012807;00;Suwa³ki
0051;012872;00;Trakiszki
0051;013003;00;Kostrzyn
0051;013904;00;Gorzów Wielkopolski
0051;014407;00;Pila G³.
0051;016501;00;Maksymilianowo
0051;016766;00;Bydgoszcz Emilianowo
0051;016907;00;Terespol Pomorski
0051;017202;00;Laskowice Pomorskie
0051;018408;00;Bydgoszcz G³.
0051;018705;00;Inowroclaw
0051;019059;00;Nowa Wieœ Wielka
0051;019091;00;Janikowo
0051;019406;00;Zd. Wola Karsznica
0051;019414;00;Zd. Wola Poludniowa
0051;019430;00;Zduñska Wola
0051;019489;00;Sieradz
0051;019703;00;Toruñ G³.
0051;020503;00;Grudzi¹dz
0051;021204;00;Brodnica
0051;021634;00;W³oc³awek Brzezie
0051;021808;00;I³awa G³.
0051;022004;00;Ostróda
0051;022442;00;Dzia³dowo
0051;023101;00;Kwidzyn
0051;023309;00;Ostrolêka
0051;024000;00;Bia³ystok
0051;024802;00;Sokó³ka
0051;025007;00;Kuznica Bialostocka
0051;025809;00;Rzepin
0051;026146;00;Zbaszyn
0051;027805;00;Zielona Góra
0051;028357;00;Poznañ Franowo
0051;028472;00;Swarzedz
0051;028522;00;Poznañ Staroleka
0051;028613;00;Poznañ Pi¹tkowo
0051;029108;00;Krzy¿
0051;029405;00;Choszczno
0051;029603;00;Oborniki Wielkopol.
0051;030601;00;Poznañ G³.
0051;030668;00;Kiekrz
0051;031021;00;Kobylnica
0051;032201;00;Kutno
0051;032250;00;K³odawa
0051;032540;00;Ozorków
0051;032623;00;P³ock Trzepowo
0051;032904;00;Lowicz Gl.
0051;032953;00;Bednary
0051;033050;00;Lowicz Przedmiescie
0051;033407;00;Warsz. Gl. Towarowa
0051;033506;00;Warszawa Zachodnia
0051;033530;00;Warszawa Ursus
0051;033605;00;Warszawa Centralna
0051;034165;00;Grodzisk Mazowiecki
0051;034207;00;yrardów
0051;034603;00;Sochaczew
0051;036129;00;Warszawa Praga
0051;036509;00;Legionowo
0051;036582;00;Wieliszew
0051;036707;00;Nasielsk
0051;036939;00;Ciechanów
0051;038505;00;Warsz.Wschodnia Tow.
0051;038554;00;Warszawa Grochów
0051;038653;00;Warszawa Wschodnia
0051;039206;00;Pilawa
0051;039909;00;Luków
